"","result_1a_slope","result_1a_se","result_1b_p","result_1c_AIC","result_1d_slope","result_1d_se","result_1e_p","result_1f_AIC","result_2a_slope","result_2a_se","result_2b_p","result_2c_AIC","result_2d_slope","result_2d_se","result_2e_p","result_2f_AIC","result_3a_slope","result_3a_se","result_3b_p","result_3c_AIC","result_3d_slope","result_3d_se","result_3e_p","result_3f_AIC"
"208",-0.141970402862095,0.0225034283433247,4.46591883729353e-08,-155.501592409381,-0.091154921638822,0.020916638026632,5.54406237047721e-05,-170.726947671225,0.662546511608681,0.0496185302369977,3.39904688760015e-19,-56.0420187366038,0.785367770758602,0.0476737087403911,2.44014226189957e-23,-71.3981654803575,-5.28772254934757e-11,0.0496185302300452,0.999999999153435,-56.0420187366037,-4.44928072545625e-10,0.0476737086989188,0.999999992586108,-71.3981654803576
"209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",-0.103625311546121,0.0247693818351624,0.000100182330019503,-159.814569169732,-0.093046952638466,0.0209086243811411,4.03897675441068e-05,-171.854537952522,0.726819463647645,0.0565114161427534,1.70617574956749e-18,-63.3820508778747,0.780798992102954,0.0483432511953106,6.19648336091682e-23,-72.4708948971171,1.36369675917124e-10,0.0565114161442342,0.999999998083023,-63.3820508778747,1.60271550069651e-12,0.0483432511953606,0.999999999973664,-72.4708948971171
"211",-0.097690582229721,0.0211036816282492,2.16762957531929e-05,-179.416350858392,-0.0964371059618038,0.0208749700121391,2.23965632022606e-05,-173.44489486962,0.744514649598978,0.0517287363820393,1.23770565915807e-20,-72.308434247534,0.772659763788658,0.0478873717916975,6.49555962386243e-23,-74.9515584966245,-1.92280750941818e-10,0.0517287363738764,0.999999997047164,-72.3084342475341,-9.19221130895025e-11,0.0478873717882841,0.999999998475125,-74.9515584966245
"212",-0.0624993496091256,0.0251844314635169,0.0160489947930315,-148.505962570996,-0.0950532733133412,0.0208483452695672,2.76655813741619e-05,-172.079170582514,0.583093330226535,0.0435383739964684,2.98643995652421e-19,-59.4168703649021,0.77200637995283,0.0470227882482101,2.86691548770612e-23,-74.4407859741853,8.03826312605541e-11,0.0435383740062976,0.999999998533354,-59.4168703649023,-4.48702411428248e-11,0.0470227882458937,0.999999999241972,-74.4407859741853
"213",-0.0558619556268466,0.0242226249665314,0.0247579737580727,-154.613544520048,-0.0975849286333639,0.020922001111566,1.91604319407737e-05,-172.279619842811,0.760122362955588,0.054980343402335,7.41591487512778e-20,-54.8440351278602,0.769535135206966,0.047472102831657,5.21922578243853e-23,-74.2451514143142,2.45147282950389e-10,0.0549803434161678,0.999999996457948,-54.8440351278601,-1.06874003549722e-10,0.0474721028259669,0.999999998211582,-74.2451514143141
"214",-0.0970967669275263,0.0239026161100973,0.000150295949922106,-150.788442170286,-0.0918479336362773,0.020616933453961,3.97253765087022e-05,-171.407511005542,0.714196049047884,0.0475028207654284,1.71244138987884e-21,-58.263883727869,0.786477345241184,0.0469859280440628,1.14605210594725e-23,-71.5656003986466,-1.95681866407313e-11,0.0475028207632302,0.99999999967276,-58.2638837278688,2.9866651198715e-12,0.0469859280444429,0.999999999949504,-71.5656003986465
"215",-0.0892884600570432,0.0214737358304507,0.000109165602204597,-175.854330250364,-0.094608812618775,0.0207983367220667,2.86868900152776e-05,-172.825527656297,0.772744689447265,0.0520036380674198,2.92430344934939e-21,-70.4824152072918,0.776177767459786,0.0480247561110616,6.00349288646841e-23,-73.3698166698967,-4.5456700445429e-11,0.0520036380654187,0.999999999305616,-70.4824152072918,-1.04493531456492e-10,0.0480247561064542,0.999999998271539,-73.3698166698967
"216",-0.106554330929385,0.0241418756296437,4.58025055578963e-05,-160.986844787657,-0.092283108832506,0.0207735416431457,4.14960895670141e-05,-172.174972630216,0.733367401675886,0.0576751619935349,2.77200695590612e-18,-57.0089906635857,0.788056137797694,0.0479995155182283,2.86448837939224e-23,-72.3761431614027,5.13085717941541e-10,0.0576751620128015,0.999999992932978,-57.0089906635857,-5.53123836932809e-11,0.047999515513836,0.999999999084579,-72.3761431614027
"217",-0.106793126621482,0.0224593226789352,1.3912340540424e-05,-163.839021439209,-0.0966588411849369,0.020743915222051,1.94728121642846e-05,-173.039145477185,0.695270251056028,0.0515523153941708,2.20170675548333e-19,-60.6030873474268,0.766825759513915,0.0471724507162731,4.57410734073219e-23,-74.9857505288522,9.27064905378522e-12,0.0515523153947894,0.999999999857144,-60.6030873474267,-2.98292351614595e-10,0.0471724507054905,0.999999994976701,-74.9857505288522
